,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,created_at,user_id,category_id,id
0,0.0,0.0,0.0,2022-11-26 20:41:14.733624+00,3e203202-3aae-4bcc-a3a1-b4ea8a6cfc9a,08a15661-55eb-4ff1-9bb0-399935bdc2de,2eff7876-a074-4b7a-a06c-287d6c4ee86f
1,1.0,1.0,1.0,2022-06-24 15:33:55.209774+00,5a600e7b-2aaf-4e44-9227-3102fc7b7953,29ad7778-87f9-462b-b6de-e4eb59f3e392,ad1249b2-54f3-4c29-a8b5-01419e7b87c8
2,2.0,2.0,2.0,2022-06-24 15:33:55.209774+00,5a600e7b-2aaf-4e44-9227-3102fc7b7953,19112e1e-5c82-495f-814b-d6600d2a9db5,8f995da5-294d-42b5-8674-3f53a0a4c548
3,3.0,3.0,3.0,2022-06-24 15:33:55.209774+00,5a600e7b-2aaf-4e44-9227-3102fc7b7953,1d672149-09a4-43d5-ba92-b321a48c02f8,b70389f0-aec0-4711-987a-d18f91fe561d
4,4.0,4.0,4.0,2022-06-24 15:33:55.209774+00,5a600e7b-2aaf-4e44-9227-3102fc7b7953,183b85b8-17eb-4980-871f-b686db09dbf6,b69f66ee-d75d-47f8-892d-57c1e32127d4
5,5.0,5.0,5.0,2022-06-24 15:33:55.209774+00,5a600e7b-2aaf-4e44-9227-3102fc7b7953,88ddd1b0-8c84-45f0-9b4d-3d95e04ad8c8,e5ab7db1-b5f7-4371-9a81-9c735d0d8103
6,6.0,6.0,6.0,2022-06-24 15:33:55.209774+00,5a600e7b-2aaf-4e44-9227-3102fc7b7953,99b9506a-6a13-4c7f-9481-363e48fff1f7,0f949b49-fc81-41c2-a0dc-93bd7fe815bc
7,7.0,7.0,7.0,2022-06-24 15:56:53.903127+00,c93215c2-ab5b-4ee1-8320-976e6c5f69b7,3a3f25d5-8e19-48f9-b0d9-9e48c0fb231d,2a4041dc-f690-4bb9-add3-fba1052e1285
8,8.0,8.0,8.0,2022-06-24 15:56:53.903127+00,c93215c2-ab5b-4ee1-8320-976e6c5f69b7,3cf72434-f364-4ed8-b637-2c8a91e07695,f0cb99e2-d1bb-4c0d-a28d-498f73768b68
9,9.0,9.0,9.0,2022-06-24 15:56:53.903127+00,c93215c2-ab5b-4ee1-8320-976e6c5f69b7,1d672149-09a4-43d5-ba92-b321a48c02f8,461d8617-d5f3-47ca-95fc-80fa1161fc6b
